,,,,mean,2.5%,97.5%
Pre-exposure,Control,Not seen,"Yes, definitely",0.511798742963566,0.47211994637488824,0.5505123301818247
Pre-exposure,Control,Not seen,"Unsure, lean yes",0.34689046505283055,0.31329102975028894,0.3816729511921559
Pre-exposure,Control,Not seen,"Unsure, lean no",0.09450715373871757,0.07504254937323394,0.11687910259183464
Pre-exposure,Control,Not seen,"No, definitely not",0.046803638244883955,0.032960552911751394,0.0630626151342435
Pre-exposure,Control,Seen,"Yes, definitely",0.6291546736950616,0.5792943816427666,0.6793656091032225
Pre-exposure,Control,Seen,"Unsure, lean yes",0.2783796716831639,0.24123581558563845,0.31563565686116757
Pre-exposure,Control,Seen,"Unsure, lean no",0.06297495816930487,0.046554253859482524,0.08142003100127075
Pre-exposure,Control,Seen,"No, definitely not",0.02949069645246746,0.020074412664122927,0.04081211337972417
Pre-exposure,Control,Seen-Not seen,"Yes, definitely",0.11735593073149775,0.05562754095609493,0.1822528200009979
Pre-exposure,Control,Seen-Not seen,"Unsure, lean yes",-0.06851079336966835,-0.1086372001934587,-0.031215867289368763
Pre-exposure,Control,Seen-Not seen,"Unsure, lean no",-0.03153219556941276,-0.05001645916260877,-0.014901214654750868
Pre-exposure,Control,Seen-Not seen,"No, definitely not",-0.017312941792416506,-0.029125603909739405,-0.00772480530399204
Pre-exposure,Treatment,Not seen,"Yes, definitely",0.5620725973130183,0.5399706076648723,0.5843451114683869
Pre-exposure,Treatment,Not seen,"Unsure, lean yes",0.31001108403899524,0.292212780245494,0.32861652677796527
Pre-exposure,Treatment,Not seen,"Unsure, lean no",0.07169196227112581,0.06182507246847102,0.08215858280031461
Pre-exposure,Treatment,Not seen,"No, definitely not",0.05622435637685943,0.04779438320954274,0.06540155039012734
Pre-exposure,Treatment,Seen,"Yes, definitely",0.5215429571821342,0.4893063667168345,0.5532801238773123
Pre-exposure,Treatment,Seen,"Unsure, lean yes",0.3311110591919768,0.30910680073360064,0.35395830747074697
Pre-exposure,Treatment,Seen,"Unsure, lean no",0.08174712506058883,0.06986205942220666,0.09462308268933775
Pre-exposure,Treatment,Seen,"No, definitely not",0.06559885856529918,0.054475719819295346,0.0774712315477928
Pre-exposure,Treatment,Seen-Not seen,"Yes, definitely",-0.04052964013088466,-0.07852242629938255,-0.0025984647987529856
Pre-exposure,Treatment,Seen-Not seen,"Unsure, lean yes",0.021099975152981613,0.0013600129893002837,0.04054926828236223
Pre-exposure,Treatment,Seen-Not seen,"Unsure, lean no",0.010055162789463246,0.0005998518874027193,0.01992260197464269
Pre-exposure,Treatment,Seen-Not seen,"No, definitely not",0.009374502188439889,0.0005679700398274174,0.018752134920623924
Pre-exposure,Treatment-Control,Not seen,"Yes, definitely",0.050273854349453195,0.005435186478054877,0.09453874672677022
Pre-exposure,Treatment-Control,Not seen,"Unsure, lean yes",-0.03687938101383671,-0.0760397431439815,0.001091279407058627
Pre-exposure,Treatment-Control,Not seen,"Unsure, lean no",-0.022815191467591846,-0.047803859626316704,-0.00048129250950595357
Pre-exposure,Treatment-Control,Not seen,"No, definitely not",0.009420718131975495,-0.00842569712791354,0.026051266624919894
Pre-exposure,Treatment-Control,Seen,"Yes, definitely",-0.10761171651292922,-0.1693511967760087,-0.048282725685405405
Pre-exposure,Treatment-Control,Seen,"Unsure, lean yes",0.05273138750881313,0.007687732604434495,0.09697648104472711
Pre-exposure,Treatment-Control,Seen,"Unsure, lean no",0.018772166891284196,-0.0028557996042804065,0.03936661693697341
Pre-exposure,Treatment-Control,Seen,"No, definitely not",0.03610816211283198,0.02022454822433714,0.050933958607968136
Pre-exposure,Treatment-Control,Seen-Not seen,"Yes, definitely",-0.15788557086238256,-0.2319974115225553,-0.08405690760924522
Pre-exposure,Treatment-Control,Seen-Not seen,"Unsure, lean yes",0.08961076852264985,0.0467678702346293,0.13461910385916426
Pre-exposure,Treatment-Control,Seen-Not seen,"Unsure, lean no",0.041587358358876045,0.02202341259706394,0.062320767130422464
Pre-exposure,Treatment-Control,Seen-Not seen,"No, definitely not",0.02668744398085644,0.013169427883806173,0.04108220943240831
Post-exposure,Control,Not seen,"Yes, definitely",0.5798423573777673,0.5382234240513665,0.6208410148148159
Post-exposure,Control,Not seen,"Unsure, lean yes",0.3763000647516608,0.33561310590912935,0.41767584006587205
Post-exposure,Control,Not seen,"Unsure, lean no",0.03846054305043536,0.027618688039429434,0.05154936698916854
Post-exposure,Control,Not seen,"No, definitely not",0.005397034820136044,0.003039519980333935,0.008760719035244755
Post-exposure,Control,Seen,"Yes, definitely",0.6679187175878493,0.6180472699281652,0.7172421495935788
Post-exposure,Control,Seen,"Unsure, lean yes",0.3006220350899993,0.25760349468804733,0.3445176211944848
Post-exposure,Control,Seen,"Unsure, lean no",0.0276128130950884,0.01800013752686905,0.03974446906237474
Post-exposure,Control,Seen,"No, definitely not",0.003846434227061467,0.0019883838888056773,0.0065855089356543165
Post-exposure,Control,Seen-Not seen,"Yes, definitely",0.08807636021008287,0.029752079425963664,0.14688632557700207
Post-exposure,Control,Seen-Not seen,"Unsure, lean yes",-0.07567802966166148,-0.125079921659395,-0.028406009015816924
Post-exposure,Control,Seen-Not seen,"Unsure, lean no",-0.01084772995534703,-0.021989042056150914,8.461901862350772e-05
Post-exposure,Control,Seen-Not seen,"No, definitely not",-0.0015506005930745672,-0.003454723591693193,9.524482190352543e-05
Post-exposure,Treatment,Not seen,"Yes, definitely",0.5331875446263347,0.5102713834134006,0.5564729695272328
Post-exposure,Treatment,Not seen,"Unsure, lean yes",0.3726967545234909,0.3522946612417501,0.3939555641957546
Post-exposure,Treatment,Not seen,"Unsure, lean no",0.07963390642607422,0.06922766737903639,0.09107343076143853
Post-exposure,Treatment,Not seen,"No, definitely not",0.014481794424100587,0.01116023221465059,0.018307940693131766
Post-exposure,Treatment,Seen,"Yes, definitely",0.5181518598464163,0.4860455648947154,0.550281244167116
Post-exposure,Treatment,Seen,"Unsure, lean yes",0.38602499467709167,0.3610493901083031,0.4112286994793803
Post-exposure,Treatment,Seen,"Unsure, lean no",0.0812186138444727,0.06816471186285564,0.09508934738256276
Post-exposure,Treatment,Seen,"No, definitely not",0.014604531632019574,0.0109529511749571,0.018809849216452734
Post-exposure,Treatment,Seen-Not seen,"Yes, definitely",-0.015035684779917444,-0.049992350398104436,0.02037183118650826
Post-exposure,Treatment,Seen-Not seen,"Unsure, lean yes",0.013328240153600025,-0.008354622685437182,0.03448755962284715
Post-exposure,Treatment,Seen-Not seen,"Unsure, lean no",0.0015847074183983757,-0.010621463562257545,0.014222797656982115
Post-exposure,Treatment,Seen-Not seen,"No, definitely not",0.00012273720791905525,-0.002471000102673032,0.002974624658796287
Post-exposure,Treatment-Control,Not seen,"Yes, definitely",-0.04665481275143441,-0.09611462910053772,0.0007056739688478614
Post-exposure,Treatment-Control,Not seen,"Unsure, lean yes",-0.003603310228168834,-0.0492038165930454,0.04234944013518494
Post-exposure,Treatment-Control,Not seen,"Unsure, lean no",0.041173363375638795,0.024281346066036956,0.05678283908642912
Post-exposure,Treatment-Control,Not seen,"No, definitely not",0.009084759603964527,0.00448938179875094,0.013583848793985822
Post-exposure,Treatment-Control,Seen,"Yes, definitely",-0.14976685774143542,-0.2105164787354285,-0.08809710755964933
Post-exposure,Treatment-Control,Seen,"Unsure, lean yes",0.08540295958709258,0.03414696258399007,0.13638570278778397
Post-exposure,Treatment-Control,Seen,"Unsure, lean no",0.053605800749384126,0.035885159529139773,0.07061989071475996
Post-exposure,Treatment-Control,Seen,"No, definitely not",0.010758097404958143,0.00625162994063948,0.015408711198365033
Post-exposure,Treatment-Control,Seen-Not seen,"Yes, definitely",-0.1031120449900007,-0.1701456809886535,-0.03280138369166237
Post-exposure,Treatment-Control,Seen-Not seen,"Unsure, lean yes",0.08900626981526139,0.036132273330948886,0.14033346897844778
Post-exposure,Treatment-Control,Seen-Not seen,"Unsure, lean no",0.012432437373745404,-0.003992961661557704,0.029737393286356623
Post-exposure,Treatment-Control,Seen-Not seen,"No, definitely not",0.0016733378009936176,-0.0015084937156724205,0.00512103174189959
